date,os,country,spend,impressions,clicks,installs
2020-06-01,android,SG,1.27,192,1,3
2020-06-01,android,SI,1.31,379,8,6
2020-06-01,android,SJ,0.01,5,0,0
2020-06-01,android,SK,50.32,13882,236,79
2020-06-01,android,SM,0.02,5,0,0
2020-06-01,android,SN,0.07,65,1,1
2020-06-01,android,SR,0.02,19,0,0
2020-06-01,android,SV,0.72,844,11,3
2020-06-01,android,SX,0.03,9,1,1
2020-06-01,android,TG,0.02,13,0,0
2020-06-01,android,TH,35.8999,23721,317,92
2020-06-01,android,TJ,0.01,27,0,0
2020-06-01,android,TL,0.01,6,0,0
2020-06-01,android,TN,0.17,339,14,9
2020-06-01,android,TO,0.01,6,2,0
2020-06-01,android,TR,36.5491,34453,572,155
2020-06-01,android,TT,0.17,116,4,1
2020-06-01,android,TW,1.7,294,7,1
2020-06-01,android,TZ,0.04,69,4,0
2020-06-01,android,UA,30.4794,15746,524,176
2020-06-01,android,UG,0.01,20,1,0
2020-06-01,android,UK,51.73,7877,70,35
2020-06-01,android,US,616.68,65711,677,219
2020-06-01,android,UY,0.45,586,9,5
2020-06-01,android,UZ,0.05,110,6,3
2020-06-01,android,VC,0.01,11,1,0
2020-06-01,android,VE,0.289978,560,15,5
2020-06-01,android,VG,0.01,3,0,0
2020-06-01,android,VI,0.08,8,0,0
2020-06-01,android,VN,7.38996,4116,66,24
2020-06-01,android,VU,0.01,4,0,0
2020-06-01,android,WS,0.05,5,0,0
2020-06-01,android,XK,0.13,129,2,0
2020-06-01,android,YE,0.05,40,1,0
2020-06-01,android,YT,0.02,25,1,0
2020-06-01,android,ZA,43.66,20465,238,77
2020-06-01,android,ZM,0.08,52,0,0
2020-06-01,android,ZW,0.03,11,0,0
2020-06-01,ios,AD,0.01,8,0,0
2020-06-01,ios,AE,22.33,3372,51,10
2020-06-01,ios,AF,0.08,46,1,0
2020-06-01,ios,AG,0.01,4,0,0
2020-06-01,ios,AL,0.01,14,0,0
2020-06-01,ios,AM,0.04,24,0,0
2020-06-01,ios,AO,0.04,11,0,0
2020-06-01,ios,AR,2.69,2236,31,6
2020-06-01,ios,AS,0.01,7,1,1
2020-06-01,ios,AT,17.71,3157,29,6
2020-06-01,ios,AU,57.91,7061,92,25
2020-06-01,ios,AW,0.06,12,0,0
2020-06-01,ios,AZ,0.03,12,0,1
2020-06-01,ios,BA,0.03,41,1,0
2020-06-01,ios,BB,0.01,14,0,0
2020-06-01,ios,BD,0.04,30,0,0
2020-06-01,ios,BE,15.08,2908,45,12
2020-06-01,ios,BF,0.01,4,0,0
2020-06-01,ios,BH,0.52,126,4,0
2020-06-01,ios,BJ,0.04,4,0,0
2020-06-01,ios,BM,0.14,43,3,0
2020-06-01,ios,BN,0.06,18,0,0
2020-06-01,ios,BR,62.92,39347,554,143
2020-06-01,ios,BS,0.18,72,3,0
2020-06-01,ios,BY,3.25,903,37,8
2020-06-01,ios,CA,76.19,9540,151,39
2020-06-01,ios,CD,0.1,26,0,0
2020-06-01,ios,CG,0.02,4,1,0
2020-06-01,ios,CH,46.41,5009,75,21
2020-06-01,ios,CI,0.02,13,0,0
2020-06-01,ios,CL,89.45,30496,369,77
2020-06-01,ios,CN,0.04,29,2,1
2020-06-01,ios,CO,2.71,1749,23,3
2020-06-01,ios,CR,0.06,33,0,0
2020-06-01,ios,CV,0.02,6,0,0
2020-06-01,ios,CW,0.02,8,0,0
2020-06-01,ios,CY,0.2,120,2,0
2020-06-01,ios,CZ,19.44,4609,71,14
2020-06-01,ios,DE,126.66,15453,231,86
2020-06-01,ios,DK,15.14,1738,28,3
2020-06-01,ios,DO,0.24,78,0,1
2020-06-01,ios,DZ,0.12,76,2,0
2020-06-01,ios,EC,20.46,8988,140,38
2020-06-01,ios,EE,0.07,14,0,0
2020-06-01,ios,EG,1.23,661,10,2
2020-06-01,ios,ES,17.29,5380,58,12
2020-06-01,ios,ET,0.02,5,0,0
2020-06-01,ios,FI,2.65,274,4,0
2020-06-01,ios,FJ,0.06,7,0,0
2020-06-01,ios,FO,0.08,5,0,0
2020-06-01,ios,FR,43.44,7820,107,27
2020-06-01,ios,GD,0.01,2,0,0
2020-06-01,ios,GE,6.94,3614,219,155
2020-06-01,ios,GF,0.05,17,0,0
2020-06-01,ios,GG,0.16,27,0,0
2020-06-01,ios,GH,0.08,39,1,1
2020-06-01,ios,GI,0.06,12,1,0
2020-06-01,ios,GL,0.09,16,0,0
2020-06-01,ios,GN,0.01,4,0,0
2020-06-01,ios,GP,0.14,62,1,0
2020-06-01,ios,GR,2.6,1090,8,3
2020-06-01,ios,GT,0.03,19,0,0
2020-06-01,ios,GU,0.59,184,1,0
2020-06-01,ios,GY,0.04,11,1,1
2020-06-01,ios,HK,12.51,1727,35,5
2020-06-01,ios,HN,0.15,123,0,0
2020-06-01,ios,HR,1.9,840,16,8
2020-06-01,ios,HU,16.53,5374,93,23
2020-06-01,ios,ID,10.07,4493,73,9
2020-06-01,ios,IE,2.59,484,7,2
2020-06-01,ios,IL,13.41,2349,34,3
2020-06-01,ios,IM,0.27,14,0,0
2020-06-01,ios,IN,12.4,6167,145,35
2020-06-01,ios,IQ,97.62,95553,4387,1328
2020-06-01,ios,IS,0.28,27,2,0
2020-06-01,ios,IT,32.26,8374,115,23
2020-06-01,ios,JE,0.04,27,0,0
2020-06-01,ios,JM,0.01,4,0,0
2020-06-01,ios,JO,0.45,196,5,3
2020-06-01,ios,JP,39.23,4372,64,15
2020-06-01,ios,KE,0.04,21,0,0
2020-06-01,ios,KH,0.08,53,0,0
2020-06-01,ios,KN,0.01,2,0,0
2020-06-01,ios,KR,14.69,1399,34,5
2020-06-01,ios,KW,35.73,4742,70,18
2020-06-01,ios,KY,0.03,6,0,0
2020-06-01,ios,KZ,3.86,2355,54,8
2020-06-01,ios,LA,0.02,21,0,0
2020-06-01,ios,LB,0.27,178,2,0
2020-06-01,ios,LI,0.09,13,0,0
2020-06-01,ios,LK,0.18,97,3,0
2020-06-01,ios,LT,0.04,16,0,0
2020-06-01,ios,LU,0.22,61,0,0
2020-06-01,ios,LV,0.04,23,0,0
2020-06-01,ios,LY,0.07,196,8,1
2020-06-01,ios,MA,0.15,118,2,4
2020-06-01,ios,MD,0.52,302,0,0
2020-06-01,ios,ME,0.04,20,0,0
2020-06-01,ios,MK,0.01,7,0,0
2020-06-01,ios,ML,0.03,28,1,0
2020-06-01,ios,MM,0.2,207,2,1
2020-06-01,ios,MN,0.04,85,0,0
2020-06-01,ios,MO,0.04,6,0,0
2020-06-01,ios,MQ,0.09,15,0,0
2020-06-01,ios,MR,0.02,2,0,0
2020-06-01,ios,MU,0.02,18,0,0
2020-06-01,ios,MV,0.06,35,0,0
2020-06-01,ios,MX,15.7,8690,116,28
2020-06-01,ios,MY,84.86,25113,333,59
2020-06-01,ios,MZ,0.03,11,1,0
2020-06-01,ios,NA,0.03,24,1,0
2020-06-01,ios,NC,0.1,27,0,0
2020-06-01,ios,NG,0.37,112,4,0
2020-06-01,ios,NI,0.06,48,4,3
2020-06-01,ios,NL,37.17,5376,108,29
2020-06-01,ios,NO,38.36,2402,28,8
2020-06-01,ios,NZ,9.27,1282,13,3
2020-06-01,ios,OM,0.56,169,2,1
2020-06-01,ios,PA,0.27,92,3,1
2020-06-01,ios,PE,1.14,604,10,3
2020-06-01,ios,PF,0.06,7,0,0
2020-06-01,ios,PH,38.62,19168,277,50
2020-06-01,ios,PK,0.3,228,3,0
2020-06-01,ios,PL,17.4,4656,62,11
2020-06-01,ios,PM,0.01,9,0,0
2020-06-01,ios,PR,1.91,552,4,1
2020-06-01,ios,PS,0.16,115,1,2
2020-06-01,ios,PT,6.14,1292,19,4
2020-06-01,ios,PY,0.02,24,1,0
2020-06-01,ios,QA,1.77,258,6,1
2020-06-01,ios,RE,0.14,44,1,0
2020-06-01,ios,RO,53.27,15009,260,65
2020-06-01,ios,RU,156.57,58673,1265,304
2020-06-01,ios,SA,121.17,20550,349,127
2020-06-01,ios,SE,22.88,1899,46,11
2020-06-01,ios,SG,3.97,496,8,1
2020-06-01,ios,SI,0.18,42,1,0
2020-06-01,ios,SK,43.26,10733,189,38
2020-06-01,ios,SN,0.07,28,1,1
2020-06-01,ios,SO,0.01,6,0,0
2020-06-01,ios,SV,0.12,108,5,0
2020-06-01,ios,SX,0.05,8,0,0
2020-06-01,ios,TC,0.01,5,0,0
2020-06-01,ios,TG,0.03,3,0,0
2020-06-01,ios,TH,10.32,3778,76,15
2020-06-01,ios,TN,0.04,19,0,0
2020-06-01,ios,TR,57.59,59558,570,113
2020-06-01,ios,TT,0.07,36,1,0
2020-06-01,ios,TW,48.36,6251,87,18
2020-06-01,ios,TZ,0.1,58,2,1
2020-06-01,ios,UA,17.94,6157,115,36
2020-06-01,ios,UK,127.82,18125,198,54
2020-06-01,ios,US,1071.96,116455,1140,338
2020-06-01,ios,UY,0.03,14,0,0
2020-06-01,ios,VE,0.18,157,0,1
2020-06-01,ios,VI,0.09,41,1,0
2020-06-01,ios,VN,4.29,1554,26,4
2020-06-01,ios,XK,0.06,34,1,0
2020-06-01,ios,YE,0.01,7,0,0
2020-06-01,ios,YT,0.02,6,0,0
2020-06-01,ios,ZA,20.33,6683,55,8
2020-06-01,ios,ZM,0.02,10,0,0
2020-06-01,ios,ZW,0.04,8,0,0
2020-06-02,android,AD,0.14,78,3,1
2020-06-02,android,AE,7.72,2184,37,14
2020-06-02,android,AF,0.72,530,3,0
2020-06-02,android,AG,0.12,63,0,0
2020-06-02,android,AL,0.41,296,10,1
2020-06-02,android,AM,1.03,870,21,9
2020-06-02,android,AO,0.14,94,3,0
2020-06-02,android,AR,21.93,30851,1099,408
2020-06-02,android,AS,0.06,44,0,0
2020-06-02,android,AT,24.38,4126,47,13
2020-06-02,android,AU,23.57,2556,22,7
2020-06-02,android,AW,0.11,87,1,0
2020-06-02,android,AZ,1.93,1678,58,10
2020-06-02,android,BA,3.73,3542,60,14
2020-06-02,android,BB,0.16,195,6,1
2020-06-02,android,BD,1.03,1256,42,8
2020-06-02,android,BE,21.36,4990,69,26
2020-06-02,android,BF,0.12,91,5,1
2020-06-02,android,BG,7.82,4547,105,27
2020-06-02,android,BH,1.07,412,9,1
2020-06-02,android,BJ,0.03,29,1,1
2020-06-02,android,BM,0.22,42,0,0
2020-06-02,android,BN,0.66,433,9,2
2020-06-02,android,BO,2.67,3426,59,10
2020-06-02,android,BR,228.9,175959,2668,874
2020-06-02,android,BS,0.63,268,3,2
2020-06-02,android,BW,0.32,158,2,0
2020-06-02,android,BY,9.31,5234,140,42
2020-06-02,android,BZ,0.05,109,4,2
2020-06-02,android,CA,24.92,3894,40,11
2020-06-02,android,CD,0.2,204,2,0
2020-06-02,android,CF,0.01,18,1,0
2020-06-02,android,CG,0.03,14,1,1
2020-06-02,android,CH,35.12,3885,53,15
2020-06-02,android,CI,0.16,209,1,0
2020-06-02,android,CK,0.02,14,1,0
2020-06-02,android,CL,172.69,104861,1427,515
2020-06-02,android,CM,0.04,24,0,0
2020-06-02,android,CN,0.23,215,3,1
2020-06-02,android,CO,30.05,30158,473,153
2020-06-02,android,CR,10.26,6997,92,26
2020-06-02,android,CV,0.04,94,3,0
2020-06-02,android,CW,0.11,49,3,2
2020-06-02,android,CY,2.27,1396,24,0
2020-06-02,android,CZ,32.53,7960,153,42
2020-06-02,android,DE,164.56,23398,412,129
2020-06-02,android,DJ,0.14,109,2,1
2020-06-02,android,DK,6.56,689,11,4
2020-06-02,android,DM,0.03,29,0,0
2020-06-02,android,DO,1.88,1625,29,7
2020-06-02,android,DZ,1.28,3292,128,26
2020-06-02,android,EC,27.29,22565,453,145
2020-06-02,android,EE,1.85,363,9,1
2020-06-02,android,EG,15.91,17803,590,161
2020-06-02,android,ES,39.55,18187,245,71
2020-06-02,android,ET,0.04,58,3,1
2020-06-02,android,FI,4.35,475,9,3
2020-06-02,android,FJ,0.39,142,1,0
2020-06-02,android,FK,0.01,9,0,0
2020-06-02,android,FO,0.04,14,0,0
2020-06-02,android,FR,70.23,14384,162,56
2020-06-02,android,GA,0.03,65,3,1
2020-06-02,android,GD,0.09,45,0,1
2020-06-02,android,GE,19.26,14982,496,192
2020-06-02,android,GF,0.29,179,0,0
2020-06-02,android,GG,0.2,31,0,0
2020-06-02,android,GH,0.88,575,13,1
2020-06-02,android,GL,0.26,97,1,0
2020-06-02,android,GN,0.01,37,4,0
2020-06-02,android,GP,1.04,281,5,1
2020-06-02,android,GQ,0.01,11,1,0
2020-06-02,android,GR,10.41,4878,86,18
2020-06-02,android,GT,1.72,1834,37,6
2020-06-02,android,GU,0.93,243,2,0
2020-06-02,android,GY,0.14,94,0,0
2020-06-02,android,HK,2.89,386,7,2
2020-06-02,android,HN,2.25,2504,36,6
2020-06-02,android,HR,15.11,7191,75,24
2020-06-02,android,HU,35.67,16567,259,64
2020-06-02,android,ID,83.77,72660,1181,247
2020-06-02,android,IE,8.82001,2108,23,10
2020-06-02,android,IL,18.41,4135,80,18
2020-06-02,android,IM,0.17,39,0,0
2020-06-02,android,IN,76.29,79854,1955,361
2020-06-02,android,IQ,70.9,109191,5025,1978
2020-06-02,android,IS,0.83,124,3,1
2020-06-02,android,IT,64.04,27234,342,99
2020-06-02,android,JE,0.43,53,1,0
2020-06-02,android,JM,0.42,173,3,2
2020-06-02,android,JO,3.42,2498,70,21
2020-06-02,android,JP,8.3,883,14,3
2020-06-02,android,KE,0.89,520,8,4
2020-06-02,android,KG,0.46,902,25,2
2020-06-02,android,KH,1.13,838,18,6
2020-06-02,android,KM,0.03,19,0,0
2020-06-02,android,KN,0.01,10,0,0
2020-06-02,android,KR,36.57,5966,68,15
2020-06-02,android,KW,5.84,1567,33,6
2020-06-02,android,KY,0.71,64,0,0
2020-06-02,android,KZ,13.47,12621,310,100
2020-06-02,android,LA,0.2,418,12,5
2020-06-02,android,LB,1.38,1494,36,6
2020-06-02,android,LC,0.01,41,0,1
2020-06-02,android,LI,0.1,9,0,0
2020-06-02,android,LK,1.72,1909,43,8
2020-06-02,android,LR,0.01,24,0,0
2020-06-02,android,LT,7.33,2181,40,17
2020-06-02,android,LU,1.07,99,1,2
2020-06-02,android,LV,4.23,1179,31,12
2020-06-02,android,LY,1.09,3801,159,32
2020-06-02,android,MA,3.32,4422,105,22
2020-06-02,android,MC,0.02,10,0,0
2020-06-02,android,MD,2.68,1731,30,9
2020-06-02,android,ME,0.23,274,8,2
2020-06-02,android,MF,0.05,31,0,0
2020-06-02,android,MG,0.02,63,3,1
2020-06-02,android,MH,0.02,9,1,0
2020-06-02,android,MK,0.66,657,16,1
2020-06-02,android,ML,0.14,110,4,0
2020-06-02,android,MM,3.87,7500,170,32
2020-06-02,android,MN,0.23,390,21,8
2020-06-02,android,MO,0.01,5,0,0
2020-06-02,android,MP,0.26,90,3,1
2020-06-02,android,MQ,0.5,171,1,2
2020-06-02,android,MR,0.01,32,3,0
2020-06-02,android,MT,0.61,156,3,1
2020-06-02,android,MU,1.12,637,9,1
2020-06-02,android,MV,0.57,404,6,0
2020-06-02,android,MW,0.01,18,1,0
2020-06-02,android,MX,66.14,64787,1090,314
2020-06-02,android,MY,148.71,65573,935,250
2020-06-02,android,MZ,0.14,103,0,0
2020-06-02,android,NA,0.4,459,5,1
2020-06-02,android,NC,0.37,153,4,1
2020-06-02,android,NG,1.02,605,19,3
2020-06-02,android,NI,1.02,1224,18,4
2020-06-02,android,NL,36.54,4946,56,28
2020-06-02,android,NO,37.11,2937,39,9
2020-06-02,android,NP,0.25,504,10,5
2020-06-02,android,NR,0.07,24,0,0
2020-06-02,android,NZ,8.6,1233,16,4
2020-06-02,android,OM,1.61,911,23,3
2020-06-02,android,PA,2.23,1543,31,13
2020-06-02,android,PE,13.08,9820,121,35
2020-06-02,android,PF,0.09,56,1,0
2020-06-02,android,PG,0.17,60,2,0
2020-06-02,android,PH,67.84,51871,808,314
2020-06-02,android,PK,6.5,8415,252,51
2020-06-02,android,PL,95.8,34491,428,144
2020-06-02,android,PM,0.05,14,0,0
2020-06-02,android,PR,7.14,2886,49,5
2020-06-02,android,PS,2.12,1727,40,13
2020-06-02,android,PT,13.51,6669,96,38
2020-06-02,android,PW,0.06,23,0,0
2020-06-02,android,PY,0.68,881,14,5
2020-06-02,android,QA,1.82,837,27,9
2020-06-02,android,RE,2.07,1030,10,1
2020-06-02,android,RO,83.54,34025,738,266
2020-06-02,android,RS,3.75,2435,66,18
2020-06-02,android,RU,159.97,55448,1195,358
2020-06-02,android,SA,64.32,22198,429,151
2020-06-02,android,SB,0.03,14,0,0
2020-06-02,android,SC,0.07,52,2,0
2020-06-02,android,SE,16.94,1861,28,8
2020-06-02,android,SG,4.22,644,5,1
2020-06-02,android,SI,2.64,888,16,5
2020-06-02,android,SJ,0.04,12,0,0
2020-06-02,android,SK,59.45,15912,291,93
2020-06-02,android,SL,0.19,27,0,0
2020-06-02,android,SM,0.04,23,0,0
2020-06-02,android,SN,0.2,129,2,1
2020-06-02,android,SO,0.06,84,1,1
2020-06-02,android,SR,0.13,86,2,0
2020-06-02,android,SV,2.08,2919,38,7
2020-06-02,android,SX,0.03,35,0,0
2020-06-02,android,SZ,0.04,29,1,1
2020-06-02,android,TC,0.06,24,0,0
2020-06-02,android,TD,0.02,23,0,0
2020-06-02,android,TG,0.05,43,1,1
2020-06-02,android,TH,58.79,36633,482,135
2020-06-02,android,TJ,0.11,206,7,0
2020-06-02,android,TL,0.01,31,0,0
2020-06-02,android,TN,0.76,1192,31,7
2020-06-02,android,TO,0.01,27,2,0
2020-06-02,android,TR,78.16,77197,1265,317
2020-06-02,android,TT,0.45,264,8,2
2020-06-02,android,TW,7.19,928,16,1
2020-06-02,android,TZ,0.37,305,6,1
2020-06-02,android,UA,59.27,33225,939,279
2020-06-02,android,UG,0.1,67,1,0
2020-06-02,android,UK,86.47,14449,153,51
2020-06-02,android,US,680.98,82618,776,323
2020-06-02,android,UY,2.91,2773,45,6
2020-06-02,android,UZ,0.62,661,17,6
2020-06-02,android,VC,0.08,54,1,1
2020-06-02,android,VE,0.61,1424,19,4
2020-06-02,android,VG,0.05,19,3,0
2020-06-02,android,VI,0.21,49,0,0
2020-06-02,android,VN,12.41,6683,118,36
2020-06-02,android,VU,0.05,13,0,0
2020-06-02,android,XK,0.5,378,10,0
2020-06-02,android,YE,0.06,113,0,1
2020-06-02,android,YT,0.05,75,1,0
2020-06-02,android,ZA,69.92,33447,345,128
2020-06-02,android,ZM,0.12,118,5,2
2020-06-02,android,ZW,0.07,40,2,0
2020-06-02,ios,AD,0.01,3,0,0
2020-06-02,ios,AE,26.53,3788,61,24
2020-06-02,ios,AF,0.04,41,0,1
2020-06-02,ios,AL,0.05,18,0,0
2020-06-02,ios,AM,0.03,22,0,0
2020-06-02,ios,AR,3.72,3335,48,15
2020-06-02,ios,AT,20.42,2674,27,5
2020-06-02,ios,AU,49.93,6286,61,16
2020-06-02,ios,AW,0.04,10,0,0
2020-06-02,ios,AZ,0.04,15,0,0
2020-06-02,ios,BA,0.02,26,0,0
2020-06-02,ios,BB,0.02,11,0,0
2020-06-02,ios,BD,0.01,14,0,1
2020-06-02,ios,BE,15.28,2933,42,11
2020-06-02,ios,BG,0.06,19,1,1
2020-06-02,ios,BH,0.33,87,1,0
2020-06-02,ios,BM,0.1,38,1,0
2020-06-02,ios,BN,0.03,6,0,0
2020-06-02,ios,BO,0.01,20,0,0
2020-06-02,ios,BR,47.67,30314,429,90
2020-06-02,ios,BS,0.09,47,0,0
2020-06-02,ios,BW,0.01,4,0,0
2020-06-02,ios,BY,1.87,787,14,5
2020-06-02,ios,CA,48.48,5739,65,19
2020-06-02,ios,CD,0.03,11,0,0
2020-06-02,ios,CH,39.21,4161,43,12
2020-06-02,ios,CI,0.03,7,0,0
2020-06-02,ios,CL,89.09,35325,341,79
2020-06-02,ios,CN,0.03,10,0,0
2020-06-02,ios,CO,4.6,3262,37,10
2020-06-02,ios,CR,0.1,38,0,0
2020-06-02,ios,CW,0.01,5,0,0
2020-06-02,ios,CY,0.13,59,0,0
2020-06-02,ios,CZ,13.03,3916,57,12
2020-06-02,ios,DE,145.13,17574,238,50
2020-06-02,ios,DJ,0.03,11,0,0
2020-06-02,ios,DK,15.15,1459,24,6
2020-06-02,ios,DO,0.17,34,0,1
2020-06-02,ios,DZ,0.07,39,1,1
2020-06-02,ios,EC,27.31,14767,203,36
2020-06-02,ios,EE,0.04,15,0,0
2020-06-02,ios,EG,0.52,248,4,1
2020-06-02,ios,ES,13.86,3980,59,15
2020-06-02,ios,ET,0.01,5,0,0
2020-06-02,ios,FI,1.64,179,5,1
2020-06-02,ios,FJ,0.04,9,0,0
2020-06-02,ios,FO,0.04,5,0,0
2020-06-02,ios,FR,46.08,7428,105,11
2020-06-02,ios,GD,0.02,2,0,0
2020-06-02,ios,GE,5.26,2416,95,66
2020-06-02,ios,GF,0.09,15,0,0
2020-06-02,ios,GG,0.06,14,0,0
2020-06-02,ios,GH,0.14,18,0,1
2020-06-02,ios,GL,0.14,17,0,0
